image_name,timestamp,detection_index,label,people_or_machine,object_id,canonical_label,merge_role,bbox_x0,bbox_y0,bbox_x1,bbox_y1,projected_x,projected_y,anchor_x,anchor_y,display_x,display_y,position_source,static_cluster_id,clustering_method,temp_mean_c,temp_max_c
IR_57327.jpg,2025-04-23 13:28:31,4,Machine,machine,machine_2,Machine,keep,103.119843,175.158752,145.050507,270.151733,6.725138,0.443425,6.476916,0.453659,6.476916,0.453659,dbscan_machine_global_median_anchor,dbscan_machine_0000,dbscan_machine,25.472376,31.236292
IR_57327.jpg,2025-04-23 13:28:31,5,Person,person,person_frame_00003,Person,keep,97.701965,40.435791,206.714142,181.041168,3.843554,1.269117,3.843554,1.269117,3.843554,1.269117,frame_projection,,none_person,23.292946,34.000000
IR_57327.jpg,2025-04-23 13:28:31,6,Person,person,person_frame_00004,Person,keep,332.459656,133.982178,405.665588,276.657410,5.619198,3.056591,5.619198,3.056591,5.619198,3.056591,frame_projection,,none_person,23.366373,34.000000
IR_57327.jpg,2025-04-23 13:28:31,1,Person,person,person_frame_00001,Person,keep,387.652466,222.652374,577.045776,487.564484,11.736513,4.481120,11.736513,4.481120,11.736513,4.481120,frame_projection,,none_person,27.347015,34.000000
IR_57327.jpg,2025-04-23 13:28:31,2,Person,person,person_frame_00002,Person,keep,143.330292,244.040207,326.591492,485.738708,12.348906,2.617638,12.348906,2.617638,12.348906,2.617638,frame_projection,,none_person,25.576136,34.000000
IR_57327.jpg,2025-04-23 13:28:31,3,Window,machine,window_1,Window,keep,135.429596,48.395981,177.795746,131.404800,2.014164,0.490447,1.359293,0.425851,1.359293,0.425851,dbscan_window_nearest_same_label_anchor,dbscan_window_0000,dbscan_window,24.386265,26.125326
IR_57328.jpg,2025-04-23 13:29:02,6,Cableduct,machine,cableduct_2,Cableduct,keep,319.049500,15.917282,357.323730,43.453239,7.235532,3.323287,7.344941,3.358257,7.344941,3.358257,dbscan_cableduct_global_median_anchor,dbscan_cableduct_0000,dbscan_cableduct,22.180202,32.599998
IR_57328.jpg,2025-04-23 13:29:02,7,Cableduct,machine,cableduct_1,Cableduct,keep,222.620392,1.756580,315.169159,50.151112,10.840332,3.254981,11.689842,3.324211,11.689842,3.324211,dbscan_cableduct_global_median_anchor,dbscan_cableduct_0001,dbscan_cableduct,21.733257,32.599998
IR_57328.jpg,2025-04-23 13:29:02,9,Machine,machine,machine_6,Machine,keep,480.976410,133.788391,560.393188,218.686310,4.563989,5.336090,4.627599,5.335778,4.627599,5.335778,dbscan_machine_global_median_anchor,dbscan_machine_0001,dbscan_machine,22.538876,32.599998
IR_57328.jpg,2025-04-23 13:29:02,3,Machine,machine,machine_2,Machine,keep,100.356247,173.571289,146.645920,277.054321,6.901220,0.478557,6.476916,0.453659,6.476916,0.453659,dbscan_machine_global_median_anchor,dbscan_machine_0000,dbscan_machine,25.202507,32.599998
IR_57328.jpg,2025-04-23 13:29:02,11,Person,person,person_frame_00007,Person,keep,572.270020,212.719604,640.000000,484.381714,10.852375,5.314375,10.852375,5.314375,10.852375,5.314375,frame_projection,,none_person,22.168444,32.599998
IR_57328.jpg,2025-04-23 13:29:02,1,Person,person,person_frame_00005,Person,keep,1.538025,189.302109,175.280396,483.189453,12.043312,1.463987,12.043312,1.463987,12.043312,1.463987,frame_projection,,none_person,25.912094,32.599998
IR_57328.jpg,2025-04-23 13:29:02,2,Person,person,person_frame_00006,Person,keep,134.158798,222.914001,378.803589,488.024353,12.407886,2.795874,12.407886,2.795874,12.407886,2.795874,frame_projection,,none_person,26.162569,32.599998
IR_57328.jpg,2025-04-23 13:29:02,8,Screen,machine,screen_2,Screen,keep,610.463013,278.206146,639.794800,366.861481,10.830623,5.017345,11.149738,4.865085,11.149738,4.865085,dbscan_screen_global_median_anchor,dbscan_screen_0000,dbscan_screen,21.843969,32.599998
IR_57328.jpg,2025-04-23 13:29:02,5,Screen,machine,screen_1,Screen,keep,315.941895,275.615784,474.367920,379.518738,13.363388,4.157670,11.239784,4.130199,11.239784,4.130199,dbscan_screen_nearest_same_label_anchor,dbscan_screen_0001,dbscan_screen,23.175825,32.599998
IR_57328.jpg,2025-04-23 13:29:02,4,Window,machine,window_1,Window,keep,136.255493,51.183640,176.789093,127.350433,1.553147,0.423798,1.359293,0.425851,1.359293,0.425851,dbscan_window_global_median_anchor,dbscan_window_0000,dbscan_window,24.134550,32.599998
IR_57329.jpg,2025-04-23 13:29:32,4,Cableduct,machine,cableduct_2,Cableduct,keep,322.759399,15.886562,356.261597,40.472191,7.227699,3.296457,7.344941,3.358257,7.344941,3.358257,dbscan_cableduct_global_median_anchor,dbscan_cableduct_0000,dbscan_cableduct,23.039074,34.599998
IR_57329.jpg,2025-04-23 13:29:32,3,Machine,machine,machine_2,Machine,keep,108.459915,176.838562,143.253403,249.424561,6.717146,0.472070,6.476916,0.453659,6.476916,0.453659,dbscan_machine_global_median_anchor,dbscan_machine_0000,dbscan_machine,26.102594,32.436031
IR_57329.jpg,2025-04-23 13:29:32,6,Person,person,person_frame_00010,Person,keep,569.205811,206.313354,640.000000,481.597656,10.773763,5.301547,10.773763,5.301547,10.773763,5.301547,frame_projection,,none_person,24.085268,34.599998
IR_57329.jpg,2025-04-23 13:29:32,1,Person,person,person_frame_00008,Person,keep,328.802429,212.999908,573.886597,482.622833,11.874320,4.244318,11.874320,4.244318,11.874320,4.244318,frame_projection,,none_person,26.837824,34.599998
IR_57329.jpg,2025-04-23 13:29:32,5,Person,person,person_frame_00009,Person,keep,5.354767,186.196625,206.060120,482.434967,12.120481,1.577905,12.120481,1.577905,12.120481,1.577905,frame_projection,,none_person,25.799318,34.599998
